playerId,name,fullName,nationality,role,battingHand,playerJsonBowlingType,playerJsonBowlingHand,playerJsonBowlingStyle,metadataFoundForSameId,metadataName,metadataCountry,metadataBowlingType,metadataBowlingHand,metadataBowlingStyle,hasCricsheetRegisterMatch,cricsheetId
1124283,Aaron Hardie,Aaron Mark Hardie,Australia,bowler,right,pace,right,Right-arm medium-fast,yes,Aaron Hardie,Australia,pace,right,Right-arm medium-fast,yes,d405c0d5
379504,Adam Zampa,Adam Zampa,Australia,bowler,right,spin,right,Leg Break Googly,yes,Adam Zampa,Australia,spin,right,Legbreak googly,yes,14f96089
326434,Alex Carey,Alex Tyson Carey,Australia,wicketkeeper-batsman,left,,,,yes,Alex Carey,Australia,,,,yes,69d03465
505120,Ashton Agar,Ashton Charles Agar,Australia,all-rounder,left,spin,left,Slow left-arm orthodox,yes,Ashton Agar,Australia,spin,left,Slow left-arm orthodox,yes,a2421394
500268,Ashton Turner,Ashton James Turner,Australia,bowler,right,spin,right,Off Break,yes,Ashton Turner,Australia,spin,right,Right-arm offbreak,yes,ff1e12a0
381329,Beau Webster,Beau Jacob Webster,Australia,all-rounder,right,pace,right,Right-arm medium,yes,Beau Webster,Australia,pace,right,Right-arm medium,yes,56b93d46
679567,Ben Dwarshuis,Benjamin James Dwarshuis,Australia,bowler,left,pace,left,Left-arm fast-medium,yes,Ben Dwarshuis,Australia,pace,left,Left-arm fast-medium,yes,e1b9f3a9
603410,Ben McDermott,Benjamin Reginald McDermott,Australia,batsman,right,pace,right,Right-arm medium,yes,Ben McDermott,Australia,pace,right,Right-arm medium,yes,c41043e6
533042,Billy Stanlake,Billy James Stanlake,Australia,bowler,left,pace,right,Right-arm fast,yes,Billy Stanlake,Australia,pace,right,Right-arm fast,yes,6834d1f2
931603,Brendan Doggett,Brendan James Doggett,Australia,bowler,right,pace,right,Right-arm fast-medium,yes,Brendan Doggett,Australia,pace,right,Right-arm fast-medium,yes,898e628d
501011,Cameron Bancroft,Cameron Timothy Bancroft,Australia,batsman,right,,,,yes,Cameron Bancroft,Australia,,,,yes,399b0b94
1076713,Cameron Green,Cameron Green,Australia,all-rounder,right,pace,right,Right-arm medium,no,,,,,,yes,eaa76d3c
787073,Chris Green,Christopher James Green,Australia,bowler,right,spin,right,Off Break,yes,Chris Green,Australia,spin,right,Right-arm offbreak,yes,19b9f399
1210488,Cooper Connolly,Cooper Connolly,Australia,all-rounder,left,spin,left,Slow left-arm orthodox,no,,,,,,yes,fe366f34
325026,Glenn Maxwell,Glenn James Maxwell,Australia,all-rounder,right,spin,right,Off Break,yes,Glenn Maxwell,Australia,spin,right,Right-arm offbreak,yes,b681e71e
499660,Gurinder Sandhu,Gurinder Singh Sandhu,Australia,bowler,left,pace,right,Right-arm fast-medium,no,,,,,,yes,1558d83b
1088610,Jack Edwards,Jack Richard Edwards,Australia,all-rounder,right,pace,right,Right-arm medium,no,,,,,,yes,f787e0eb
570854,Jack Wildermuth,Jack David Wildermuth,Australia,bowler,right,pace,right,Right-arm medium-fast,yes,Jack Wildermuth,Australia,pace,right,Right-arm medium-fast,yes,f1c61793
1168049,Jake Fraser-McGurk,Jake Matthew Fraser-McGurk,Australia,batsman,right,spin,right,Leg Break Googly,yes,Jake Fraser-McGurk,Australia,spin,right,Legbreak googly,yes,9b6e1b3f
781285,Jake Weatherald,Jake Beath Weatherald,Australia,batsman,left,spin,right,Leg Break,yes,Jake Weatherald,Australia,spin,right,Legbreak,yes,edc7ddb6
533043,James Muirhead,James Matthew Muirhead,Australia,bowler,right,spin,right,Leg Break,yes,James Muirhead,Australia,spin,right,Legbreak,yes,52f08be8
272477,Jason Behrendorff,Jason Paul Behrendorff,Australia,bowler,right,pace,left,Left-arm fast-medium,yes,Jason Behrendorff,Australia,pace,left,Left-arm fast-medium,yes,4933f499
774223,Jhye Richardson,Jhye Avon Richardson,Australia,bowler,right,pace,right,Right-arm fast,yes,Jhye Richardson,Australia,pace,right,Right-arm fast,yes,1ee08e9a
288284,Josh Hazlewood,Josh Reginald Hazlewood,Australia,bowler,left,pace,right,Right-arm fast-medium,yes,Josh Hazlewood,Australia,pace,right,Right-arm fast-medium,yes,03806cf8
662235,Josh Inglis,Joshua Patrick Inglis,Australia,wicketkeeper-batsman,right,,,,yes,Josh Inglis,Australia,,,,yes,989889ff
